利弗莫尔（Livermore）认为决定交易成败的核心因素是什么？,执行时的情绪控制。
老交易员认知正确、情绪稳定却不赚钱，通常是被哪种惑困住？,尘沙惑。
尘沙惑在方法上的典型危机是什么？,“一招鲜”，无法识别战法的适用边界（如趋势 vs 震荡）。
“无明惑”在交易中的终极根源是什么？,我执（根本我执）。
将盈亏等同于自我价值，属于哪种层面的惑？,无明惑。
无明惑中的“认幻为实”指交易者对什么产生了幻觉？,将随机的 $K$ 线跳动视为真实的情绪开关或绝对事实。
破除“无明惑”的四个关键点是什么？,破我执、勤观心、不攀缘、活当下。
脑科学中，负责处理原始恐惧和贪婪的“情绪警报器”是什么？,杏仁核（Amygdala）。
脑科学中，负责逻辑、执行规则的“理性指挥官”是什么？,前额叶皮层（Prefrontal Cortex）。
什么是“杏仁核劫持”？,杏仁核感知威胁或诱惑时，绕过逻辑思考抢夺大脑控制权。
感官信息到达杏仁核的速度是多少？,$13ms$。
为什么靠“意志力”很难阻止错误操作？,因为杏仁核的反应速度远快于前额叶理性的速度。
当大脑处于“杏仁核劫持”状态时，身体会进入哪种应激反应？,战斗或逃跑（Fight or Flight）。
大脑中负责监测心跳、呼吸等内脏状态的“身体传感器”是什么？,脑岛（Insula）。
优秀的交易者如何利用“脑岛”的功能？,在情绪爆发前，先通过捕捉身体微小的紧绷信号（如胃缩）来觉察风险。
哈佛医学院研究证明，正念练习能使大脑中的哪个区域缩小？,杏仁核（情绪预警中心）。
哈佛医学院研究证明，正念练习能使大脑中的哪个区域灰质密度增加？,前额叶皮层（理性决策中心）。
大脑中负责注意力调控、识别走神信号的区域是什么？,前部内扣带回（ACC）。
什么是“默认模式网络”（DMN）？,大脑休息时产生胡思乱想、反刍思维和心理内耗的神经基础。
哪种神经是连接呼吸与大脑的“放松开关”？,迷走神经。
什么是 $4-7-8$ 呼吸法？,吸气 $4$ 秒，憋气 $7$ 秒，呼气 $8$ 秒。
$4-7-8$ 呼吸法中，哪一个步骤是激活副交感神经系统的核心？,呼气 $8$ 秒（呼气长于吸气）。
$4-7-8$ 呼吸法在交易系统中的定位是什么？,“急救药”，用于强行给过热的大脑按重启键。
佛家“安般守意”（观呼吸）在交易系统中的定位是什么？,底层“操作系统”，用于重塑定力和长期觉知力。
“安般法”与 $4-7-8$ 呼吸法在操作上的核心区别是什么？,安般法是“观察”自然呼吸，不进行人为干预或控制。
安般守意的四个进阶层次是什么？,数（Counting）、随（Following）、止（Stopping）、观（Contemplation）。
正念交易中“下单前 $10$ 秒强制停顿觉察法”的内容是什么？,深呼吸、扫描身体信号、判断冲动强度。强度过高则停止下单。
什么是正念复盘中的“心态复盘”？,观察决策时真实的念头与情绪，而非仅仅统计盈亏数字。
心态复盘的五步循环流程是什么？,觉察、接纳、分析、记录、放下。
在复盘表中增加“今日执念觉察”模块的目的是什么？,建立反馈机制，识别高频触发贪、嗔、痴的情绪点。
什么是心态复盘中的“接纳”？,不评判、不自责，坦然承认当前的认知局限和情绪波动。
心态复盘的终极目标是什么？,放下执念，实现心情“格式化”，以空白心态面对次日交易。
什么是“$1-2-2$ 法则”？,强制停手 $1$ 分钟，观心 $2$ 分钟，剥离情绪 $2$ 分钟。
为什么要建立个人的“身体情绪地图”？,为了在情绪失控前，精准捕捉到特定的生理预警信号。
在神经科学上，反复想“要是当时不卖就好了”属于哪种思维？,反刍思维（Rumination），由 $DMN$ 网络驱动。
正念交易认为，内心平静度是什么性质的指标？,终极的“盈利指标”。
“六七因中转”在交易修行中指什么？,用第六识的正智去破除第七识末那识的恒审我执。
为什么说“获胜的关键在于大脑而非计算机”？,因为交易本质上是人与人之间心性的博弈。
什么是交易中的“ FOMO ”心理？,恐惧错过行情（Fear of Missing Out），属于情绪习气导致的追高行为。
“死扛不止损”在佛法逻辑中属于哪种心魔？,思惑中的“嗔心”，即不愿意接受亏损事实，与市场赌气。
正念练习如何帮助交易者建立“信息防火墙”？,通过增强 $ACC$ 区域的功能，提升抗干扰和专注力。
在 $4-7-8$ 呼吸中，憋气 $7$ 秒的生理作用是什么？,让氧气进入血液，向大脑发送安全信号。
什么是“决策停顿规则”？,在产生交易冲动的瞬间按下暂停键，为理性的前额叶争取反应时间。
“攀缘心”在交易中具体表现为什么？,总想预测每一波行情，试图抓住每一个微小机会。
正念交易系统中的“预期管理”建议是什么？,不追求完美和瞬间开悟，而是学会觉察并接纳自己的不足。
每日盘前 $10$ 分钟执行“清心术”的目的是什么？,格式化昨天的盈亏执念，清零情绪负担。
根据米利根博士的观点，真正的自我与账户盈亏的关系是什么？,自我是深埋的树根，盈亏是随风摇摆的树叶（剥离自我价值与盈亏）。
为什么中级实战营设定为 $21$ 天？,利用神经可塑性原理，通过高频拉练将认知固化为肌肉记忆。
在交易中感到心跳加快或手凉，是哪个脑区在处理这些信号？,脑岛。
